Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"001000",SR,IBk,1000,57.1171,42.8829,0.5662,0.5712,0.5670,56.5868,43.4132,0.5683,0.5659,0.5580
"002000",SR,IBk,2000,55.4880,44.5120,0.5471,0.5549,0.5496,55.9880,44.0120,0.5577,0.5599,0.5583
"003000",SR,IBk,3000,54.7471,45.2529,0.5410,0.5475,0.5421,57.0289,42.9711,0.5686,0.5703,0.5662
"004000",SR,IBk,4000,55.7695,44.2305,0.5523,0.5577,0.5528,55.0898,44.9102,0.5484,0.5509,0.5455
"005000",SR,IBk,5000,55.3694,44.6306,0.5419,0.5537,0.5424,54.9102,45.0898,0.5399,0.5491,0.5385
"006000",SR,IBk,6000,56.1302,43.8698,0.5483,0.5613,0.5495,57.8055,42.1945,0.5665,0.5781,0.5673
"007000",SR,IBk,7000,55.0204,44.9796,0.5332,0.5502,0.5342,57.5032,42.4968,0.5597,0.5750,0.5604
"008000",SR,IBk,8000,57.0908,42.9092,0.5492,0.5709,0.5513,57.4476,42.5524,0.5592,0.5745,0.5581
"009000",SR,IBk,9000,57.5142,42.4858,0.5536,0.5751,0.5511,58.4498,41.5502,0.5648,0.5845,0.5616
"010000",SR,IBk,10000,59.0526,40.9474,0.5688,0.5905,0.5676,58.7425,41.2575,0.5675,0.5874,0.5635
