Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"001000",SR,J48,1000,62.7177,37.2823,0.6214,0.6272,0.6217,64.9701,35.0299,0.6649,0.6497,0.6424
"002000",SR,J48,2000,61.0736,38.9264,0.6039,0.6107,0.6037,63.6228,36.3772,0.6363,0.6362,0.6327
"003000",SR,J48,3000,59.3691,40.6309,0.5961,0.5937,0.5875,60.8175,39.1825,0.6113,0.6082,0.6016
"004000",SR,J48,4000,59.0090,40.9910,0.5900,0.5901,0.5836,57.3353,42.6647,0.5754,0.5734,0.5683
"005000",SR,J48,5000,58.0150,41.9850,0.5766,0.5802,0.5701,58.2635,41.7365,0.5775,0.5826,0.5703
"006000",SR,J48,6000,58.9512,41.0488,0.5813,0.5895,0.5821,59.2020,40.7980,0.5916,0.5920,0.5878
"007000",SR,J48,7000,57.8395,42.1605,0.5623,0.5784,0.5586,59.2988,40.7012,0.5780,0.5930,0.5695
"008000",SR,J48,8000,59.4801,40.5199,0.5841,0.5948,0.5724,59.3189,40.6811,0.5745,0.5932,0.5714
"009000",SR,J48,9000,58.6787,41.3213,0.5674,0.5868,0.5602,59.7804,40.2196,0.5803,0.5978,0.5676
"010000",SR,J48,10000,60.5631,39.4369,0.5848,0.6056,0.5764,60.8383,39.1617,0.5930,0.6084,0.5775
