Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"001000",SR,Perceptron,1000,55.0551,44.9449,0.5365,0.5506,0.5306,52.0958,47.9042,0.5762,0.5210,0.4706
"002000",SR,Perceptron,2000,54.5295,45.4705,0.5415,0.5453,0.5247,59.8802,40.1198,0.6197,0.5988,0.5612
"003000",SR,Perceptron,3000,53.7807,46.2193,0.5361,0.5378,0.5280,53.6391,46.3609,0.5527,0.5364,0.5165
"004000",SR,Perceptron,4000,53.2282,46.7718,0.5277,0.5323,0.5200,50.2994,49.7006,0.5149,0.5030,0.4321
"005000",SR,Perceptron,5000,54.6246,45.3754,0.5385,0.5462,0.5287,53.4731,46.5269,0.5568,0.5347,0.4869
"006000",SR,Perceptron,6000,54.0676,45.9324,0.5395,0.5407,0.4959,52.8180,47.1820,0.4924,0.5282,0.4672
"007000",SR,Perceptron,7000,55.4316,44.5684,0.5195,0.5543,0.5084,56.1779,43.8221,0.5364,0.5618,0.5301
"008000",SR,Perceptron,8000,56.0998,43.9002,0.5280,0.5610,0.5065,55.5389,44.4611,0.5590,0.5554,0.4696
"009000",SR,Perceptron,9000,56.2285,43.7715,0.5339,0.5623,0.5091,57.5516,42.4484,0.5634,0.5755,0.4936
"010000",SR,Perceptron,10000,58.6036,41.3964,0.5623,0.5860,0.5334,58.2635,41.7365,0.5600,0.5826,0.5069
