Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"001000",SR,SMO,1000,55.4204,44.5796,0.6133,0.5542,0.4988,55.0898,44.9102,0.5982,0.5509,0.5030
"002000",SR,SMO,2000,53.0255,46.9745,0.5697,0.5303,0.4741,58.5329,41.4671,0.6240,0.5853,0.5424
"003000",SR,SMO,3000,52.7692,47.2308,0.5153,0.5277,0.5051,52.6421,47.3579,0.5337,0.5264,0.5040
"004000",SR,SMO,4000,54.2905,45.7095,0.5331,0.5429,0.5166,53.1437,46.8563,0.5144,0.5314,0.5043
"005000",SR,SMO,5000,55.0541,44.9459,0.5262,0.5505,0.5181,53.8323,46.1677,0.5209,0.5383,0.5080
"006000",SR,SMO,6000,54.4706,45.5294,0.5174,0.5447,0.5129,57.1571,42.8429,0.5429,0.5716,0.5374
"007000",SR,SMO,7000,55.9301,44.0699,0.5249,0.5593,0.5258,56.0068,43.9932,0.5353,0.5601,0.5275
"008000",SR,SMO,8000,56.6179,43.3821,0.5342,0.5662,0.5318,56.0629,43.9371,0.5273,0.5606,0.5269
"009000",SR,SMO,9000,56.3330,43.6670,0.5241,0.5633,0.5271,57.8177,42.1823,0.5392,0.5782,0.5431
"010000",SR,SMO,10000,58.1562,41.8438,0.5564,0.5816,0.5178,57.9940,42.0060,0.5477,0.5799,0.5159
