Dataset,Filter,Classifier,Instances,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"000500",UR,J48,500,64.7447,35.2553,0.6405,0.6474,0.6424,63.4731,36.5269,0.6420,0.6347,0.6362
"000500",SR,J48,500,64.5345,35.4655,0.6308,0.6453,0.6364,68.2635,31.7365,0.7010,0.6826,0.6748
"002500",UR,J48,2500,60.7447,39.2553,0.6051,0.6074,0.5984,58.2036,41.7964,0.5897,0.5820,0.5738
"002500",SR,J48,2500,62.0240,37.9760,0.6177,0.6202,0.6104,57.1257,42.8743,0.5831,0.5713,0.5653
"010000",UR,J48,10000,59.9790,40.0210,0.5782,0.5998,0.5723,61.1078,38.8922,0.5977,0.6111,0.5858
"010000",SR,J48,10000,60.5631,39.4369,0.5848,0.6056,0.5764,60.8383,39.1617,0.5930,0.6084,0.5775
"017500",UR,J48,17500,64.7490,35.2510,0.6235,0.6475,0.5986,64.6707,35.3293,0.6187,0.6467,0.5955
"017500",SR,J48,17500,64.4505,35.5495,0.6128,0.6445,0.5953,64.9102,35.0898,0.6223,0.6491,0.5963
"025000",UR,J48,25000,67.3614,32.6386,0.6387,0.6736,0.6183,67.7045,32.2955,0.6475,0.6770,0.6209
"025000",SR,J48,25000,67.1242,32.8758,0.6349,0.6712,0.6157,68.5906,31.4094,0.6567,0.6859,0.6324
