Dataset,Filter,Classifier,nInst,nAttr,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"002000",SR,1-NN,2000,9,55.8033,44.1967,0.5484,0.5580,0.5500,59.7305,40.2695,0.5929,0.5973,0.5921
"002000",SR,3-NN,2000,9,58.1757,41.8243,0.5693,0.5818,0.5703,60.9281,39.0719,0.6094,0.6093,0.6040
"002000",SR,5-NN,2000,9,59.6997,40.3003,0.5903,0.5970,0.5859,61.8263,38.1737,0.6134,0.6183,0.6111
"002000",SR,7-NN,2000,9,60.1727,39.8273,0.5944,0.6017,0.5891,63.7725,36.2275,0.6360,0.6377,0.6302
"002000",SR,9-NN,2000,9,60.4730,39.5270,0.5975,0.6047,0.5897,64.8204,35.1796,0.6460,0.6482,0.6414
"002000",SR,11-NN,2000,9,60.3453,39.6547,0.5949,0.6035,0.5863,65.1198,34.8802,0.6526,0.6512,0.6414
"002000",SR,13-NN,2000,9,60.3228,39.6772,0.5983,0.6032,0.5861,63.9222,36.0778,0.6183,0.6392,0.6229
"002000",SR,15-NN,2000,9,59.5495,40.4505,0.5915,0.5955,0.5778,64.0719,35.9281,0.6201,0.6407,0.6222
"002000",SR,17-NN,2000,9,59.5120,40.4880,0.5911,0.5951,0.5772,64.3713,35.6287,0.6217,0.6437,0.6275
"002000",SR,19-NN,2000,9,59.3769,40.6231,0.5783,0.5938,0.5741,63.7725,36.2275,0.6167,0.6377,0.6219
"002000",SR,21-NN,2000,9,59.0616,40.9384,0.5688,0.5906,0.5700,63.4731,36.5269,0.6154,0.6347,0.6176
