Dataset,Filter,Classifier,nInst,nAttr,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"002000",SR,1-NN,2000,13,55.4880,44.5120,0.5471,0.5549,0.5496,55.9880,44.0120,0.5577,0.5599,0.5583
"002000",SR,3-NN,2000,13,57.5375,42.4625,0.5655,0.5754,0.5677,57.6347,42.3653,0.5787,0.5763,0.5756
"002000",SR,5-NN,2000,13,58.2508,41.7492,0.5787,0.5825,0.5748,59.8802,40.1198,0.5954,0.5988,0.5954
"002000",SR,7-NN,2000,13,57.4249,42.5751,0.5688,0.5742,0.5652,62.1257,37.8743,0.6199,0.6213,0.6164
"002000",SR,9-NN,2000,13,57.7853,42.2147,0.5736,0.5779,0.5675,63.4731,36.5269,0.6236,0.6347,0.6256
"002000",SR,11-NN,2000,13,57.4700,42.5300,0.5689,0.5747,0.5631,64.0719,35.9281,0.6287,0.6407,0.6300
"002000",SR,13-NN,2000,13,57.8904,42.1096,0.5777,0.5789,0.5664,63.0240,36.9760,0.6084,0.6302,0.6181
"002000",SR,15-NN,2000,13,57.6577,42.3423,0.5698,0.5766,0.5623,63.6228,36.3772,0.6144,0.6362,0.6248
"002000",SR,17-NN,2000,13,57.4925,42.5075,0.5655,0.5749,0.5601,63.6228,36.3772,0.6136,0.6362,0.6244
"002000",SR,19-NN,2000,13,57.6051,42.3949,0.5580,0.5761,0.5606,63.6228,36.3772,0.6140,0.6362,0.6244
"002000",SR,21-NN,2000,13,57.3423,42.6577,0.5523,0.5734,0.5572,62.7246,37.2754,0.6055,0.6272,0.6151
